tom is very interested in australian history.	tom sangat tertarik dengan sejarah australia.
what did the doctor say?	apa yang dokter katakan?
she greets him every morning as he enters the school building.	ia menyapanya setiap pagi, saat dia memasuki bangunan sekolah.
tom is a swimmer.	tom adalah seorang perenang.
five more minutes! please wait five more minutes!	lima menit lagi! tolong tunggu lima menit lagi!
tom's cooking.	tom sedang memasak.
i'm reading.	aku sedang membaca.
what are you dealing with?	apa yang sedang anda hadapi?
leave me alone!	tinggalkan aku sendiri!
did you come here alone?	apa kau datang kemari sendirian?
tom gave mary a kiss.	tom mencium mary.
mount everest is the tallest mountain in the world.	gunung everest adalah gunung tertinggi di dunia.
i'm sorry for you.	saya turut berduka.
ask tom what he wants to drink.	tanyakan pada tom apa yang ingin dia minum.
where will we meet?	di mana kita akan bertemu.
the rain lasted four days.	hujannya bertahan selama empat hari.
is this where your mother works?	ini tempat ibumu bekerja?
this box is very heavy.	kotak ini sangat berat.
i have the feeling that i'll sleep well tonight.	rasanya malam ini aku bisa tidur nyenyak.
i can speak english a little.	saya kurang mahir berbicara dalam bahasa inggris.
have you eaten anything?	apakah kamu sudah makan sesuatu?
the thief ran away and the policeman ran after him.	pencuri itu kabur dan polisi mengejarnya.
tom felt the stiffness in his joints as he stood up after sitting in the same position for a long time.	tom merasa persendiannya kaku ketika berdiri setelah lama duduk dalam posisi yang sama.
tom kidnapped mary.	tom menculik mary.
that job takes a lot of strength.	pekerjaan itu memerlukan banyak tenaga.
this is a crab.	ini kepiting.
what's written there?	apa yang tertulis di situ?
tom drives carefully.	tom mengemudi dengan hati-hati.
tom wants to be the boss.	tom ingin menjadi bosnya.
show me your driving license, please.	tolong tunjukkan sim anda.
she's unconscious.	dia tidak sadar.
do you have any questions about the food?	apa kamu punya pertanyaan tentang makanannya?
where've you guys been?	ke mana saja kalian?
his letter says he'll arrive next sunday.	di suratnya tertulis kalau dia akan tiba hari minggu besok.
how did you get hurt?	bagaimana kamu bisa terluka?
when will your new novel be published?	kapan novel barumu akan diterbitkan?
i hear you're very good at french.	kudengar kamu sangat pandai berbahasa prancis.
are there any other options?	apakah ada pilihan lain?
i can't put up with this any longer.	aku sudah tidak tahan dengan hal ini.
almost all of the dogs are alive.	hampir semua anjingnya hidup.
i slept in the car.	aku tidur di mobil.
tom said he wasn't a canadian.	tom bilang dia bukan orang kanada.
he isn't happy at all.	dia tidak senang sama sekali.
did anything interesting happen while i was gone?	apakah ada kejadian menarik selama aku pergi?
that's the stupidest thing i've ever said.	itu hal terbodoh yang pernah kuucapkan.
have you ever seen anything like this?	pernahkah kamu melihat yang seperti ini?
his temperature is normal.	suhu tubuhnya normal.
what's that?	itu apa?
this is for internal use.	ini untuk penggunaan dalam.
what kind of cars do you like?	mobil apa yang kamu suka?
what is communication?	apa itu komunikasi?
she is dead.	dia sudah mati.
i'm a man.	aku laki-laki.
i took my camera along.	aku membawa serta kameraku.
rabbits can swim.	kelinci bisa berenang.
we have to transmit our culture to the next generation.	kita harus mewariskan budaya kita pada generasi berikutnya.
tom wants to know when we're going to leave.	tom ingin tahu kapan kita akan berangkat.
i liked the previous one better.	aku lebih suka yang sebelumnya.
scientists are debating his theory about the disappearance of the dinosaurs.	para ilmuwan memperdebatkan teorinya tentang kepunahan dinosaurus.
i like my job very much.	aku sangat menyukai pekerjaanku.
why would you want to talk to tom about that?	kenapa kau ingin membicarakan hal itu dengan tom?
do you see it?	apa kamu melihatnya?
let's go back.	ayo kembali.
my father won't let me go to boston.	ayahku tidak mengizinkanku pergi ke boston.
his brother is a famous soccer player.	saudaranya adalah seorang pemain sepak bola terkenal.
we won't start the meeting until tom comes.	kita tidak akan memulai rapat sampai tom datang.
the colony declared independence.	koloni itu mendeklarasikan kemerdekaannya.
where is the closest hospital?	di mana rumah sakit terdekat?
i often help tom do that.	aku sering membantu tom melakukan itu.
they changed it very recently.	mereka menggantinya baru-baru ini.
he thinks that his success is due to luck.	dia menganggap kalau keberhasilannya adalah karena keberuntungan.
everybody was thrilled by his story.	semua orang merasa tegang karena ceritanya.
i'm going to read this book on the airplane.	aku akan membaca buku ini di pesawat.
i need to find my family.	aku harus menemukan keluargaku.
how tall are you?	tinggimu berapa?
i believe you know what you're supposed to be doing.	saya yakin anda tahu harus berbuat apa.
that happened in the eighties.	itu terjadi pada tahun delapan puluhan.
everybody laughed at tom's mistake.	semua orang menertawakan kesalahan tom.
my bag was stolen.	tasku dicuri.
that's so cute.	imut~
which is heavier, lead or gold?	mana yang lebih berat, timbel atau emas?
this street leads to the airport.	jalan ini menuju ke bandara.
i got fired from my last job.	aku dipecat dari pekerjaanku sebelumnya.
why are you laughing?	mengapa kalian tertawa?
stay out of the rain.	jangan sampai kehujanan.
the point of the pencil has become dull.	ujung pensilnya sudah tumpul.
the bank is three blocks away.	banknya terletak di tiga blok dari sini.
we'll contact you if we have any further questions.	kami akan menghubungi anda jika kami memiliki pertanyaan-pertanyaan yang lebih lanjut.
tom doesn't know the difference between a mule and a donkey.	tom tidak tahu perbedaan antara bagal dan keledai.
i don't know what's wrong.	aku tidak tahu apa yang salah.
how do you feel about this, tom?	apa yang kamu rasakan tentang ini, tom?
i can't do my job without a computer.	aku tidak bisa mengerjakan pekerjaanku tanpa komputer.
if tom wants to go, let him.	jika tom ingin pergi, biarkan saja.
are you sure?	apakah kamu yakin?
i want something hot to drink.	aku ingin sesuatu yang hangat untuk diminum.
tom bought a dozen eggs.	tom membeli selusin telur.
pick up the phone.	angkat teleponnya.
for further information, see page 16.	untuk informasi lebih lanjut, lihat halaman 16.
life is expensive here.	hidup di sini mahal.
that's our house.	itu rumah kami.
let's come back.	ayo kembali.
tom fell down the stairs.	tom jatuh dari tangga.
a child could not have understood the situation.	anak kecil tidak bisa memahami situasi itu.
mary declined an invitation to the concert.	mary menolak undangan ke konser.
who will you be coming with?	dengan siapa kamu akan datang?
tom says he'll come.	tom bilang ia akan datang.
it's weird, isn't it?	aneh, kan?
the royal palace was built on a hill.	istana kerajaan tersebut dibangun di atas bukit.
tom probably can't do that.	tom mungkin tidak bisa melakukannya.
how much does he earn in a month?	berapa banyak yang dia peroleh per bulan?
the car is in front of the garage.	mobil itu di depan garasi.
he is known as a rock singer.	dia dikenal sebagai seorang penyanyi rok.
please give me your credit card.	tolong berikan saya kartu kreditmu.
you need a haircut.	rambutmu perlu dipotong.
united we stand, divided we fall.	bersatu kita teguh, bercerai kita runtuh.
she's my sister.	dia adikku.
what are you going to do?	apa yang akan kau lakukan?
i saw tom crossing the street.	aku melihat tom sedang menyeberang jalan.
i can't play the organ.	aku tidak bisa bermain organ.
where is your credit card?	di mana kartu kredit anda?
the japanese art of flower arrangement is called ikebana.	seni merangkai bunga jepang disebut ikebana.
do you have a similar saying in japanese?	apakah ada pepatah yang mirip dalam bahasa jepang?
where there's a will, there's a way.	dimana ada kemauan, disitu ada jalan.
tom didn't know that mary was canadian.	tom tidak tahu bahwa mary orang kanada.
this building is going to be demolished.	bangunan ini akan dirobohkan.
we know this song.	kami tahu lagu ini.
do you know who painted this picture?	kamu tahu siapa yang melukis gambar ini?
tom wasn't a bit sleepy.	tom tidak sedang mengantuk.
are you at home?	apa kamu ada di rumah?
tom hasn't apologized.	tom belum meminta maaf.
i'd like something to eat.	aku menginginkan sesuatu untuk dimakan.
i'll join you later.	aku akan menyusul kalian nanti.
tom continued to speak.	tom lanjut berbicara.
i'll be going with you.	aku akan pergi denganmu.
this is a serious mistake.	ini adalah kesalahan yang serius.
the hole is big enough.	lubang itu cukup besar.
i'm working here now.	sekarang aku bekerja di sini.
there's nothing on tv.	tidak ada apa-apa di televisi.
iron is more useful than gold.	besi lebih berguna daripada emas.
why do i have to help tom?	mengapa aku harus menolong tom?
i'm pregnant.	saya sedang hamil.
i trust him.	saya mempercayainya.
i'd like to buy a refrigerator.	aku ingin membeli sebuah kulkas.
wash your face.	cuci mukamu.
you'll get lost.	kamu akan tersesat.
tom wants to meet with me.	tom ingin bertemu denganku.
tom is a lot better today.	tom jauh lebih baik hari ini.
thomas edison invented the electric lightbulb.	thomas edison menciptakan bola lampu listrik.
which one do you think is correct?	menurutmu mana yang benar?
tom and mary are very good friends.	tom dan mary adalah teman yang sangat akrab.
i come from brazil.	saya datang dari brasil.
it is too dark to play outside.	terlalu gelap untuk bermain di luar.
look at the picture.	lihat gambarnya.
tom looks perplexed.	tom terlihat kebingungan.
tom will be there, won't he?	tom akan ada di sana, kan?
tom knows mary's husband.	tom mengenal suami mary.
i haven't talked with tom in a long time.	sudah lama saya tidak berbicara dengan tom.
wait until tomorrow morning.	tunggulah hingga besok pagi.
she's not my girlfriend. she's my sister.	dia bukan pacarku, dia adikku.
mary is tom's sister-in-law.	mary adalah saudara ipar tom.
tom resumed sweeping the floor.	tom melanjutkan menyapu lantai.
i hate spiders.	aku benci laba laba-laba.
do you want to be my girlfriend?	apakah kamu ingin menjadi pacarku?
the mayor's daughter has been kidnapped.	anak perempuan wali kota telah diculik.
it's better to give than to receive.	tangan yang di atas lebih baik daripada tangan yang di bawah.
don't you know what happened yesterday?	tidakkah kau tahu apa yang terjadi kemarin?
please hurry!	cepatlah!
tom had a little trouble finding mary's house.	tom sedikit kesulitan untuk menemukan rumah mary.
the leopard does not change his spots.	asal ayam pulang ke lumbung, asal itik pulang ke pelimbahan.
i'm a university student.	aku adalah mahasiswa.
the phone didn't ring.	teleponnya tidak berdering.
i'll be working on my report all day tomorrow.	besok aku akan mengerjakan laporanku seharian.
i went to the zoo yesterday.	aku pergi ke kebun binatang kemarin.
i've been waiting since six o'clock and still my turn hasn't come.	saya sudah menunggu sejak pukul enam dan masih belum mendapat giliran.
i wouldn't have been able to finish the job without your help.	aku tidak akan bisa menyelesaikan pekerjaan ini tanpa bantuanmu.
give me some water, please.	tolong beri aku air.
tom isn't wearing socks.	tom tidak memakai kaus kaki.
tom waited on the front porch for mary.	tom menunggu mary di beranda depan.
i'm sure that he'll come on time.	aku yakin dia akan tiba tepat waktu.
we're trapped!	kita terjebak!
what time is the plane scheduled to land?	jam berapa rencana kedatangan pesawat?
can you check the tire pressure?	apakah kamu bisa mengecek tekanan bannya?
we have only three left.	kita mempunyai tiga lagi.
they kissed again.	mereka berciuman lagi.
i'm sorry i'm late.	maaf aku terlambat.
she was my first girlfriend.	dia pacar pertamaku.
you don't seem to be able to do that very well.	kamu sepertinya tidak dapat melakukan itu dengan baik.
what were you doing at that particular moment?	apa yang sedang kau lakukan pada saat itu?
we'll have to do something.	kita harus melakukan sesuatu.
that's a difficult thing to do.	itu hal yang sulit dilakukan.
people don't care what i think.	orang-orang tidak peduli dengan apa yang aku pikirkan.
we don't know what it is yet.	kami masih belum tahu itu apa.
his loud voice drew my attention.	suaranya yang nyaring menarik perhatianku.
i don't want that anymore.	aku sudah tidak menginginkan itu.
i told tom we could do it today.	aku memberitahu tom kalau kita bisa melakukannya hari ini.
the bowl is filled with milk.	mangkuk itu terisi susu.
my hair is a mess.	rambutku berantakan.
please tell the truth.	tolong katakan kebenarannya.
he hired some new workers.	dia mempekerjakan beberapa pekerja baru.
it was confidential.	itu rahasia.
how late is the bank open?	banknya buka sampai pukul berapa?
i apologize.	saya minta maaf.
tom isn't as good a golfer as he says he is.	tom bukan pemain golf yang baik, sebaik yang ia katakan.
have you bought a watermelon?	kamu sudah beli semangka?
i'm eating rice now.	sekarang aku sedang memakan nasi.
would you like to go out and get something to eat?	maukah anda untuk jalan jalan dan mencari makanan?
that was the best decision i've ever made.	itu keputusan terbaik yang pernah kubuat.
it seems that he likes his present job.	sepertinya dia menyukai pekerjaannya yang sekarang.
what's the real reason tom doesn't want to do that?	apa alasan sebenarnya tom tidak mau melakukan itu?
i'll get you another lawyer.	aku akan mencarikanmu pengacara yang lain.
i can't take any more.	aku sudah tak mampu menahannya lagi.
i like art.	aku suka seni.
we don't have much.	kami tidak punya banyak.
he has no interest in politics.	dia tidak tertarik pada politik.
don't spit here.	jangan meludah di sini.
why didn't you believe me?	kenapa kau tidak mempercayaiku?
i don't want to see tom get hurt.	aku tidak mau melihat tom tersakiti.
the cheap prices tempted me to buy things i didn't need.	harga yang murah membuatku membeli barang-barang yang tidak aku perlukan.
tom didn't mean it.	tom tidak bermaksud demikian.
sit down.	duduklah.
turn the fan on.	nyalakan kipas anginnya.
tom has been awful.	tom sedang tidak bahagia.
you are absolutely right.	kau memang benar.
tom accepts that what mary said was the truth.	tom menerima bahwa apa yang dikatakan mary adalah kenyataan.
tom got into the car.	tom masuk ke mobil.
tom finally made it to the top of the stairs.	tom akhirnya berhasil menaiki tangga.
i'll be free all day tomorrow.	saya akan bebas selama seharian besok.
tom hated the idea.	tom membenci idenya.
don't judge a book by its cover.	jangan menilai buku dari sampulnya.
our galaxy is called the milky way.	galaksi kita dinamakan bima sakti.
don't confuse astrology with astronomy.	jangan mencampuradukkan astrologi dengan astronomi.
shut up!	diam!
slow and steady wins the race.	biar lambat asal selamat.
i can't explain it either.	aku juga tidak dapat menjelaskannya.
seen from a distance, she's a beauty.	dari jauh dia cantik.
when can we eat?	kapan kita bisa makan?
your jokes aren't funny.	lelucon anda tidak lucu.
this is what he said.	ini yang ia katakan.
tom is telling the truth.	tom mengatakan yang sebenarnya.
they won't be selling anything.	mereka tidak akan menjual apa pun.
the train is coming.	keretanya datang.
you're reading the wrong books.	kamu membaca buku-buku yang salah.
when will you visit me again?	kapan kau akan mengunjungiku lagi?
tom is a friend of mine.	tom adalah seorang temanku.
he works at a bank.	dia bekerja di bank.
tom is painting his room.	tom sedang mengecat kamarnya.
what's a ufo?	apa itu ufo?
the word has several meanings.	kata itu memiliki beberapa makna.
the swimming pool is open to the public.	kolam renangnya terbuka untuk umum.
my dad is busy.	ayahku sedang sibuk.
i can't believe you did all this without any help.	aku tidak percaya kamu melakukan ini semua tanpa bantuan.
i'm not a beggar.	aku bukan pengemis.
where is the railway station?	stasiun kereta apinya di mana?
he resembles his father very much.	dia sangat mirip dengan ayahnya.
sometimes that just happens.	terkadang itu terjadi.
thousands of people visited the city.	ribuan orang mengunjungi kota itu.
the student answered, "the square root of 256 is sixteen."	siswa tersebut menjawab, "akar kuadrat dari 256 adalah 16."
how are your parents?	bagaimana kabar orang tuamu?
tom says he's feeling better today.	tom berkata dia merasa lebih baik hari ini.
aren't you being very rude?	tidakkah kamu menjadi sangat kasar?
don't worry about that just yet.	tidak usah memikirkan itu dulu.
this is the book that i want you to read.	inilah buku yang aku ingin kamu baca.
i've been there a couple of times.	aku pernah ke sana beberapa kali.
tom explained it to me.	tom menjelaskannya padaku.
open the box.	buka kotak itu.
do you have any children?	apakah kamu punya anak?
this watch needs to be repaired.	jam tangan ini perlu diperbaiki.
who is your favorite author?	pengarang favoritmu siapa?
have you finished breakfast yet?	sudahkah kau menghabiskan sarapanmu?
can i bring tom?	boleh aku mengajak tom?
tom has been bitten by a snake.	tom telah digigit oleh seekor ular.
people who drive cars should wear seat belts.	orang yang mengemudikan mobil harus mengenakan sabuk pengaman.
i've never visited kagoshima, but i intend to this summer.	aku belum pernah mengunjungi kagoshima, tapi aku berniat ke sana musim panas tahun ini.
this isn't a post office.	ini bukan kantor pos.
i have failed.	aku sudah gagal.
you have no need to be ashamed.	seharusnya kamu tak perlu merasa malu.
save me some ice cream.	sisakan aku es krimnya.
they're kind of fun.	mereka lumayan menyenangkan.
let's discuss these problems one at a time.	mari kita diskusikan masalah-masalah ini satu demi satu.
are you hungry?	apa kalian lapar?
i would like to give him a present for his birthday.	saya ingin memberikan hadiah padanya di hari ulang tahunnya.
it's not a joke.	ini bukan lelucon.
it's very cold this evening.	sore ini sangat dingin.
we're both fine.	kami berdua baik-baik saja.
i don't know why that happened.	aku tidak tahu mengapa itu bisa terjadi.
that's my brother.	itu adikku.
i love you.	aku cinta kamu.
where did you find the key?	di mana kamu menemukan kunci itu?
where is the exit?	di mana pintu keluarnya?
we want to buy a new house.	kami ingin membeli rumah baru.
what's your score?	berapa nilaimu?
almost three thousand people died.	hampir tiga ribu orang mati.
tom is bigger than me.	tom lebih besar ketimbang aku.
i'm telling you the truth.	aku mengatakan padamu yang sebenarnya.
the united states has almost a fourth of the world's prison population.	amerika serikat memiliki hampir seperempat penghuni penjara dunia.
we're sure.	kami yakin.
tom didn't see the stop sign.	tom tidak melihat rambu berhenti.
tom realized it was time to leave.	tom menyadari sekarang adalah waktu untuk pergi.
i get paid tomorrow.	aku dapat gaji besok.
thank you in advance.	terima kasih sebelumnya.
nobody cares about our problems.	tidak ada yang peduli terhadap masalah kita.
he kissed her again.	dia menciumnya lagi.
tom poured brandy into the glasses.	tom menuang brandy ke dalam gelas.
lots of religious songs in ladino are translations from hebrew.	banyak dari lagu religi di ladino yang merupakan terjemahan dari bahasa ibrani.
nobody ran.	tidak ada yang berlari.
seen from the plane, the island looks very beautiful.	dilihat dari pesawat, pulau itu terlihat indah sekali.
the first great lesson that a young man should learn is that he knows nothing.	pelajaran besar pertama yang harus dipelajari seorang pemuda adalah bahwa ia tidak tahu apa-apa.
i want to be as tall as tom.	saya mau setinggi tom
tom might not want to see mary.	tom mungkin tidak ingin melihat mary.
tom sliced the banana with a knife.	tom memotong pisang itu dengan pisau.
everyone's invited.	semuanya diundang.
this song is very popular in japan.	lagu ini sangat populer di jepang.
i want to eat korean food.	aku ingin makan makanan korea.
i've never been to paris.	aku belum pernah ke paris.
you're a stubborn boy.	kamu anak yang bandel.
let's take a look.	mari kita coba lihat.
avoid oversized portions.	hindari porsi yang terlalu besar.
i can't say that.	aku tidak bisa mengatakan itu.
i don't want to go swimming today.	aku tidak ingin pergi berenang hari ini.
tom is cruel.	tom itu kejam.
i've already paid for it.	saya sudah membayarnya.
unbelievable!	luar biasa!
i want you to go.	aku ingin kamu pergi.
i know why tom came to australia.	saya tahu mengapa tom datang ke australia.
tom isn't busy today.	tom tidak sibuk hari ini.
what's your last name?	siapa nama belakangmu?
turn off the light, please.	tolong matikan lampunya.
there was a traffic accident in front of the house yesterday.	kemarin telah terjadi kecakaan didepan rumah saya.
you can't be a doctor.	kamu tidak bisa menjadi seorang dokter.
tom likes making paper airplanes.	tom suka membuat pesawat kertas.
three hundred and fifteen pink rabbits marched along the highway.	tiga ratus lima belas ekor kelinci merah muda berbaris di sepanjang jalan raya.
this is nonsense.	ini omong kosong.
that's my father's.	itu milik ayahku.
what do you want?	apa maumu?
tom says he's tone deaf.	tom bilang dia buta nada.
i got an f in chemistry.	aku mendapat nilai f di pelajaran kimia.
my mother is at home.	ibuku di rumah.
one is new, and the other is old.	yang satu baru, dan yang satunya lama.
you should have done so.	seharusnya kamu melakukannya.
tom has to get back home.	tom harus pulang ke rumah.
i only need one.	aku hanya butuh satu.
for children up to 5 years old, family breakdown can be difficult to understand.	bagi anak-anak di bawah usia 5 tahun, keretakan rumah tangga bisa jadi sulit untuk dipahami.
i'm usually punctual.	saya terbiasa tepat waktu.
this coffee is cold.	kopi ini dingin.
tom works for a large financial institution.	tom bekerja untuk sebuah lembaga keuangan yang besar.
let's just do it.	sudah ayo kita lakukan saja.
this game is really boring.	permainan ini benar-benar membosankan.
what is happiness?	apa itu kebahagiaan?
i'm not used to treatment like that.	saya tidak terbiasa dengan perawatan seperti itu.
these boxes are made out of plastic.	kotak-kotak ini terbuat dari plastik.
i will not tolerate this.	saya tidak akan membiarkan ini.
you don't need to feel guilty.	kamu tidak perlu merasa bersalah.
tom is hesitant to do that, but mary isn't.	tom ragu melakukan itu, tetapi mary tidak.
we can't live without air and water.	kita tidak bisa hidup tanpa udara dan air.
tom is here to protect me.	tom di sini untuk melindungiku.
what are the rooms like?	seperti apa kamar-kamarnya?
tom and mary seem fine.	tom dan mary terlihat baik-baik saja.
stop fighting!	berhenti berkelahi!
those who are present are all japanese.	semua yang telah hadir adalah orang jepang.
tom is only three years older than john.	tom hanya lebih tua tiga tahun dari john.
iker casillas is the best goalkeeper in the world.	iker casillas adalah penjaga gawang terbaik di seluruh dunia.
tom almost never eats breakfast with his family.	tom hampir tidak pernah makan pagi bersama keluarganya.
tom likes mary, too.	tom juga menyukai mary.
that mountain is five times as high as this one.	gunung itu lima kali lipat lebih tinggi dari gunung ini.
he's not my boyfriend. he's my brother.	dia bukan pacarku, dia kakakku.
please call me a doctor.	tolong panggilkan dokter.
do you know who this belongs to?	apakah kamu tahu ini milik siapa?
it's already eleven.	sudah jam sebelas.
i didn't mean to hurt you.	aku tidak bermaksud menyakitimu.
please wear a mask.	tolong pakai masker.
the sky has become overcast.	langitnya menjadi mendung.
it was in this room that we had the meeting last friday.	hari jumat lalu kami rapat di ruangan ini.
how old is this airplane?	berapa umur pesawat ini?
they saw me.	mereka melihatku.
tom's house was damaged by the flood.	rumah tom mengalami kerusakan akibat banjir.
she raised her hand.	dia mengangkat tangannya.
english is difficult to learn.	bahasa inggris sulit dipelajari.
i play video games.	saya bermain permainan video.
i'm very sorry, but we can't let you out.	maafkan saya, tetapi kami tidak dapat mengeluarkanmu.
tom still loves his job.	tom masih menyukai pekerjaannya.
where have you gone?	ke mana kamu pergi?
tom picked up mary's jewelry box and opened it.	tom mengambil kotak perhiasan mary dan membukanya.
tom thought mary seemed really happy.	tom mengira mary terlihat sangat senang.
it's paper.	ini merupakan kertas.
he can't run his own family, let alone a nation!	dia tidak becus mengatur keluarganya sendiri, apalagi sebuah negara!
i can't attend the meeting.	saya tidak bisa menghadiri rapat itu.
i don't like it, either.	aku juga tidak menyukainya.
that isn't tom.	itu bukan tom.
tom doesn't like cats.	tom tidak suka kucing.
thanks a million.	makasih banyak.
i'm the owner of this building.	saya adalah pemilik gedung ini.
i left the store disappointed.	aku keluar toko dengan kecewa.
you've given me your cold.	aku tertular pilekmu.
tom mumbles a lot.	tom banyak bergumam.
they still haven't woken up.	mereka masih belum bangun.
i have so many questions.	saya punya banyak pertanyaan.
i'm tom, mary's husband.	saya tom, suami mary.
give it to him.	berikan padanya.
there is no point in giving him advice.	tidak ada gunanya memberinya nasihat.
can any of you suggest another solution?	bisakah kamu memberikan solusi lain?
let me read it.	biarkan aku membacanya.
your speech was far from satisfactory.	pidatomu jauh dari memuaskan.
tom is speaking.	tom sedang berbicara.
we've got very little time.	waktu kita sangat sedikit.
tom is nuts.	tom gila.
i don't see anything.	aku tidak melihat apa-apa.
i could be away for some time.	saya akan pergi selama beberapa waktu.
let's stop and take a rest.	mari berhenti dan beristirahat.
tom mumbles.	tom bergumam.
he was going to school.	dia baru akan berangkat menuju ke sekolah.
there is no easy road to learning.	tidak ada jalan yang mudah untuk belajar.
he arrived here last night.	dia tiba di sini tadi malam.
yesterday was hotter.	kemarin lebih panas.
would you like to visit the white house someday?	maukah kamu mengunjungi gedung putih suatu hari?
tom misses his family.	tom merindukan keluarganya.
shall we go home?	mau pulang?
she has a white cat.	dia memiliki seekor kucing berwarna putih.
in autumn, leaves change color and fall.	pada musim gugur, dedaunan berubah warna dan berguguran.
wasn't it awful?	bukankah itu mengerikan?
the rich have many friends.	orang kaya mempunyai banyak teman.
you must go to school.	kamu harus berangkat sekolah.
they went fishing.	mereka pergi memancing.
cut the cloth diagonally.	potong kainnya secara diagonal.
there's no class today.	tidak ada kelas hari ini.
tom was raised by his uncle.	tom dibesarkan oleh pamannya.
if anybody could convince tom, it would be mary.	marylah satu-satunya yang dapat membujuk tom.
don't worry about us.	jangan khawatirkan kami.
i wish it would stop raining.	aku harap hujannya akan berhenti.
you should go home now.	kamu harus pulang sekarang.
can you speak english?	apa anda bisa berbahasa inggris?
tom accepted mary's invitation to have dinner with her.	tom menerima undangan mary untuk makan malam bersamanya.
i'll call him later.	aku akan menghubunginya nanti.
how did you become a police officer?	bagaimana kau bisa menjadi seorang polisi?
she has forgiven him.	dia telah memaafkannya.
i can read english.	saya bisa membaca bahasa inggris.
i hope that i can do it.	aku harap aku bisa melakukannya.
i want more information.	aku ingin lebih banyak informasi.
every cloud has a silver lining.	badai pasti berlalu.
tell me if there's anything i can do to help.	beritahu aku kalau ada yang bisa kubantu.
it's just a spider.	itu cuma laba-laba.
why me?	kenapa harus saya?
being together all the time, my japanese classmates got to know each other very well.	karena selalu bersama setiap saat, teman sekelasku yang orang jepang saling mengenal dengan baik satu sama lain.
i didn't feel safe in boston.	saya tidak merasa aman di boston.
my grandfather died shortly after my birth.	kakek saya meninggal tidak lama setelah saya lahir.
he loves trains.	dia suka kereta api.
what should we focus on?	kami harus fokus pada apa?
surfing looks like fun.	berselancar kelihatannya menyenangkan.
that's a nice jacket.	itu jaket yang bagus.
who would want to live in a place like this?	siapa yang mau tinggal di tempat seperti ini?
i want toys.	aku mau mainan.
you should have seen it.	kamu harusnya melihatnya.
take your hands off me.	lepaskan tanganmu dari saya.
i just wanted to see if you were paying attention.	aku hanya ingin tahu apakah kamu memperhatikan atau tidak.
i'm sure tom would agree with me.	aku yakin tom akan setuju denganku.
add more salt to the soup.	tambahkan lebih garam ke dalam sopnya.
i'm exhausted.	aku kelelahan.
why did you cry?	mengapa kamu menangis ?
you're my hero, tom.	kaulah pahlawanku, tom.
she took care of my dog.	dia merawat anjing saya.
that was a good joke. tell us another one.	itu lelucon yang bagus. beri tahu kami satu lagi.
i can't play it from memory. please give me the music.	aku tidak bisa memainkannya melalui ingatan. tolong mainkan musiknya.
he loses his temper easily.	dia mudah sekali marah.
i can honestly say this is the best coffee i've ever had.	kalau boleh jujur, ini adalah kopi terbaik yang pernah aku minum.
i don't want to hear any more of your complaining.	aku tidak ingin mendengar keluhanmu lagi.
they're eating apples.	mereka sedang memakan apel.
begin cleaning.	mulailah bersih-bersih.
how much is the bus fare?	berapa ongkos busnya?
you should've gone home already.	seharusnya kamu sudah pulang.
we're very lucky to be alive.	kami beruntung sudah hidup.
does that clock work?	apakah jam itu berfungsi?
this street is wide.	jalan ini luas.
